Address,Availability,Owner,Rooms,Size,links,postal,city,streetaddress,Price,acconto,housenumber,X,Y,UTM1,UTM2
"Krimsvej  11F, 15. th.2300 København S",01-10-2017,Lærernes Pension,3,101,https://www.findbolig.nu/bolig.aspx?aid=27745&s=2,2300,København S,Krimsvej,16861.83,1100.0,11F,12.63080232,55.66081427,350962.2507203489,6170875.109348939
"C. F. Møllers Alle  2A, 1. TV.2300 København S",01-10-2017,Deas logo,3,101,https://www.findbolig.nu/bolig.aspx?aid=27983&s=2,2300,København S,C.F. Møllers Allé,14168.26,780.0,2A,12.57509581,55.63572083,347361.09971259907,6168204.446316739
"C. F. Møllers Alle  2A, 6. TH.2300 København S",01-10-2017,Deas logo,3,96,https://www.findbolig.nu/bolig.aspx?aid=27984&s=2,2300,København S,C.F. Møllers Allé,14240.0,300.0,2A,12.57509581,55.63572083,347361.09971259907,6168204.446316739
"C. F. Møllers Alle  2A, st.2300 København S",01-10-2017,Deas logo,3,106,https://www.findbolig.nu/bolig.aspx?aid=27985&s=2,2300,København S,C.F. Møllers Allé,15016.67,740.0,2A,12.57509581,55.63572083,347361.09971259907,6168204.446316739
"C. F. Møllers Alle  2B, 1. TV.2300 København S",01-10-2017,Deas logo,3,100,https://www.findbolig.nu/bolig.aspx?aid=27986&s=2,2300,København S,C.F. Møllers Allé,13958.33,790.0,2B,12.57509581,55.63572083,347361.09971259907,6168204.446316739
"C. F. Møllers Alle  2B, 3. TH.2300 København S",01-10-2017,Deas logo,3,96,https://www.findbolig.nu/bolig.aspx?aid=27987&s=2,2300,København S,C.F. Møllers Allé,13800.0,460.0,2B,12.57509581,55.63572083,347361.09971259907,6168204.446316739
"C. F. Møllers Alle  2B, 4. TH.2300 København S",01-10-2017,Deas logo,3,96,https://www.findbolig.nu/bolig.aspx?aid=27988&s=2,2300,København S,C.F. Møllers Allé,14000.0,800.0,2B,12.57509581,55.63572083,347361.09971259907,6168204.446316739
"C. F. Møllers Alle  2C, 5. TV.2300 København S",01-10-2017,Deas logo,3,98,https://www.findbolig.nu/bolig.aspx?aid=27989&s=2,2300,København S,C.F. Møllers Allé,14291.67,1010.0,2C,12.57509581,55.63572083,347361.09971259907,6168204.446316739
"C. F. Møllers Alle  2D, 5. TH.2300 København S",01-10-2017,Deas logo,3,96,https://www.findbolig.nu/bolig.aspx?aid=27990&s=2,2300,København S,C.F. Møllers Allé,14000.0,800.0,2D,12.57509581,55.63572083,347361.09971259907,6168204.446316739
"C. F. Møllers Alle  4F, 2. TV.2300 København S",01-10-2017,Deas logo,3,97,https://www.findbolig.nu/bolig.aspx?aid=27991&s=2,2300,København S,C.F. Møllers Allé,14065.0,1010.0,4F,12.57509581,55.63572083,347361.09971259907,6168204.446316739
