Address,Availability,Owner,Price,Rooms,Size,links
"Poul Reichhardts Vej  10, 1. tv.2500 Valby",15-10-2017,PKA_Logo_2014,"14.107,29 kr.1.781,00 kr.",5,122,/bolig.aspx?aid=27363&s=2
"Olof Palmes Allé  27B, 2. mf.8200 Århus N",15-10-2017,PKA_Logo_2014,"10.064,26 kr.1.105,00 kr.",3,98,/bolig.aspx?aid=27360&s=2
"Søndervangs Allé  12B, 2. TV.8260 Viby J",01-11-2017,PKA_Logo_2014,"10.755,81 kr.500,00 kr.",4,93,/bolig.aspx?aid=27359&s=2
"Brydes Alle  17, 1. tv.5610 Assens",15-10-2017,PKA_Logo_2014,"8.014,52 kr.875,00 kr.",4,90,/bolig.aspx?aid=27355&s=2
"Sct. Jørgens Gade 3, 3. -3016000 Kolding",Ledig nu,TDCP,"7.553,00 kr.870,00 kr.",2,77,/bolig.aspx?aid=27349&s=2
"Støberbakken  1, 2. tv.5700 Svendborg",Ledig nu,PenSam,"9.252,80 kr.875,00 kr.",5,104,/bolig.aspx?aid=27343&s=2
"Sandbakken  20, st.8270 Højbjerg",01-10-2017,PKA_Logo_2014,"9.437,32 kr.",3,101,/bolig.aspx?aid=27342&s=2
"Kalkskrænten  40, 1. tv9000 Aalborg",01-11-2017,DEAS,"8.900,00 kr.600,00 kr.",4,97,/bolig.aspx?aid=27315&s=2
"Carl Jacobsens Vej  19N, 5. TV2500 Valby",01-10-2017,Lærernes Pension,"15.476,85 kr.1.200,00 kr.",4,119,/bolig.aspx?aid=27314&s=2
"Carl Jacobsens Vej  19U, 4. TH2500 Valby",01-10-2017,Lærernes Pension,"15.954,22 kr.1.200,00 kr.",4,127,/bolig.aspx?aid=27313&s=2
"Vesterbro  21F, 1. 39000 Aalborg",01-10-2017,PKA_Logo_2014,"9.839,01 kr.860,00 kr.",3,91,/bolig.aspx?aid=27301&s=2
"Margretheholmsvej  16, 6. tv1432 København K",01-10-2017,PKA_Logo_2014,"13.698,30 kr.960,00 kr.",4,92,/bolig.aspx?aid=27297&s=2
"Sct. Jørgens Gade 3, 2. 16000 Kolding",Ledig nu,TDCP,"7.553,00 kr.980,00 kr.",2,77,/bolig.aspx?aid=27270&s=2
"Sct. Jørgens Gade 3, 3. -3026000 Kolding",Ledig nu,TDCP,"7.074,00 kr.965,00 kr.",2,72,/bolig.aspx?aid=27269&s=2
Emiliedalen  2118270 Højbjerg,01-10-2017,Lærernes Pension,"13.721,98 kr.",5,135,/bolig.aspx?aid=27254&s=2
"Amagerfælledvej  118, 5. TH2300 København S",01-10-2017,AP Pension,"14.549,17 kr.1.170,00 kr.",4,103,/bolig.aspx?aid=27252&s=2
"Artillerivej  154, 4. tv2300 København S",01-12-2017,PKA_Logo_2014,"12.577,08 kr.970,00 kr.",3,91,/bolig.aspx?aid=27249&s=2
"Nydamsparken  7 , 1. th.5800 Nyborg",01-10-2017,PKA_Logo_2014,"6.659,90 kr.780,00 kr.",4,94,/bolig.aspx?aid=27245&s=2
"Falen  61D, 1.5000 Odense C",Ledig nu,PKA_Logo_2014,"9.450,97 kr.1.010,00 kr.",4,116,/bolig.aspx?aid=27237&s=2
"Nyhavnsgade 6, st. tv9000 Aalborg",Ledig nu,AdvokaterLoegstrup,"12.300,00 kr.650,00 kr.",3,123,/bolig.aspx?aid=27227&s=2
"Nyhavnsgade 6, 1. th9000 Aalborg",Ledig nu,AdvokaterLoegstrup,"10.600,00 kr.500,00 kr.",3,106,/bolig.aspx?aid=27226&s=2
"Nyhavnsgade  6, 1. tv9000 Aalborg",Ledig nu,AdvokaterLoegstrup,"9.700,00 kr.500,00 kr.",3,97,/bolig.aspx?aid=27225&s=2
"Amagerfælledvej  142, 2. TH2300 København S",01-10-2017,AP Pension,"14.104,00 kr.1.110,00 kr.",4,98,/bolig.aspx?aid=27216&s=2
"Amagerfælledvej  124, 3. TV2300 København S",01-10-2017,AP Pension,"15.158,00 kr.1.290,00 kr.",4,114,/bolig.aspx?aid=27215&s=2
"Emiliedalsvej  3, 1. lejl. 78270 Højbjerg",01-10-2017,Lærernes Pension,"10.292,52 kr.705,00 kr.",4,100,/bolig.aspx?aid=27214&s=2
"Falkoner Alle  2 , 1.  2000 Frederiksberg",01-10-2017,PKA_Logo_2014,"21.277,98 kr.1.575,00 kr.",4,170,/bolig.aspx?aid=27184&s=2
"Margrethevænget 6, 5. 12665 Vallensbæk Strand",01-10-2017,CEJ Ejendomsadministration,"13.600,00 kr.1.340,00 kr.",4,117,/bolig.aspx?aid=27183&s=2
"Carl Jacobsens Vej  19Y, 5. TV2500 Valby",01-10-2017,Lærernes Pension,"14.270,86 kr.1.125,00 kr.",4,114,/bolig.aspx?aid=27157&s=2
"Gyvelholm  6 , st.  2830 Virum",01-10-2017,Deas Logo,"17.150,70 kr.",4,121,/bolig.aspx?aid=27153&s=2
"Ågades Passage  16 , 2. tv.9000 Aalborg",01-10-2017,Sampension,"7.583,83 kr.230,00 kr.",3,79,/bolig.aspx?aid=27150&s=2
"J.P. Larsens Vej  124, 1. 38220 Brabrand",01-10-2017,PenSam,"10.220,62 kr.349,00 kr.",3,102,/bolig.aspx?aid=27149&s=2
"Emiliedalsvej  3, st. lejl. 28270 Højbjerg",01-10-2017,Lærernes Pension,"9.021,70 kr.400,00 kr.",3,75,/bolig.aspx?aid=27142&s=2
"Krimsvej  11H, st. th.2300 København S",01-10-2017,Lærernes Pension,"14.228,50 kr.900,00 kr.",3,101,/bolig.aspx?aid=27138&s=2
"Artillerivej  106, 5. th.2300 København S",01-10-2017,Lærernes Pension,"17.978,00 kr.1.690,00 kr.",4,127,/bolig.aspx?aid=27129&s=2
"Mikkelborg Park   14, st. tv.2970 Hørsholm",01-10-2017,Deas logo,"15.588,65 kr.875,00 kr.",5,129,/bolig.aspx?aid=27122&s=2
"Poul Hartlings Gade  8, st. th2300 København S",01-10-2017,Sampension,"16.150,00 kr.941,67 kr.",4,114,/bolig.aspx?aid=27117&s=2
"Ben Websters Vej 50, st.2450 København SV",01-11-2017,CEJ Ejendomsadministration,"14.500,00 kr.1.000,00 kr.",3,98,/bolig.aspx?aid=27114&s=2
"Ben Websters Vej 62, 5. tv2450 København SV",01-10-2017,CEJ Ejendomsadministration,"14.500,00 kr.1.000,00 kr.",3,92,/bolig.aspx?aid=27113&s=2
"Ben Websters Vej  86, st.2450 København SV",01-10-2017,CEJ Ejendomsadministration,"14.500,00 kr.1.000,00 kr.",3,97,/bolig.aspx?aid=27111&s=2
"Carl Jacobsens Vej  14T, 1. TH2500 Valby",01-12-2017,AP Pension,"13.664,83 kr.1.047,92 kr.",4,101,/bolig.aspx?aid=27107&s=2
"Teglholmsgade  78, 5. tv.2450 København SV",01-10-2017,Pensamlogo,"15.700,00 kr.985,00 kr.",3,91,/bolig.aspx?aid=27085&s=2
"Artillerivej  160, 2. 22300 København S",01-10-2017,PKA_Logo_2014,"15.426,60 kr.1.380,00 kr.",4,127,/bolig.aspx?aid=27080&s=2
"Göteborg Plads  15, 3. tv.2150 Nordhavn",01-10-2017,Pensamlogo,"15.958,33 kr.1.175,00 kr.",3,105,/bolig.aspx?aid=27071&s=2
"J.P. Larsens Vej  124, 2. 38220 Brabrand",Ledig nu,PenSam,"10.229,44 kr.390,00 kr.",3,102,/bolig.aspx?aid=27061&s=2
"Ågades Passage  6B, 3.  9000 Aalborg",01-10-2017,Sampension,"8.641,15 kr.300,00 kr.",3,90,/bolig.aspx?aid=27055&s=2
"Göteborg Plads  15, 4. tv.2150 Nordhavn",01-10-2017,Pensamlogo,"16.425,00 kr.1.175,00 kr.",3,105,/bolig.aspx?aid=27033&s=2
"H.C. Andersens Boulevard  41, 2. th1553 København V",Ledig nu,AdvokaterLoegstrup,"14.000,00 kr.2.000,00 kr.",2,125,/bolig.aspx?aid=26960&s=2
"Strandengen 31, st.7120 Vejle Øst",Ledig nu,TDCP,"9.511,00 kr.550,00 kr.",4,98,/bolig.aspx?aid=26958&s=2
"Marie Curies Allé  120, 1. TH.9220 Aalborg Øst",Ledig nu,DaVinciLogo,"9.350,00 kr.805,00 kr.",3,101,/bolig.aspx?aid=26950&s=2
"Marie Curies Allé  35, 1. lejl. 49220 Aalborg Øst",Ledig nu,DaVinciLogo,"8.400,00 kr.805,00 kr.",3,108,/bolig.aspx?aid=26946&s=2
"Artillerivej  160, 13. 42300 København S",01-10-2017,PKA_Logo_2014,"18.391,32 kr.1.400,00 kr.",3,129,/bolig.aspx?aid=26937&s=2
"Artillerivej  160, 13. 32300 København S",01-10-2017,PKA_Logo_2014,"17.989,32 kr.1.455,00 kr.",4,134,/bolig.aspx?aid=26935&s=2
"Søndervangs Allé  12B, 2. TH.8260 Viby J",Ledig nu,PKA_Logo_2014,"9.833,02 kr.500,00 kr.",4,93,/bolig.aspx?aid=26914&s=2
"Enghavevej  34, 1. th8260 Viby J",Ledig nu,PKA_Logo_2014,"13.177,08 kr.431,25 kr.",4,115,/bolig.aspx?aid=26911&s=2
"Engtoften  70, 1. tv8260 Viby J",Ledig nu,PKA_Logo_2014,"9.955,83 kr.288,75 kr.",2,77,/bolig.aspx?aid=26910&s=2
"Søndervangs Alle  18D, 3.8260 Viby J",01-10-2017,PKA_Logo_2014,"12.734,35 kr.875,00 kr.",4,140,/bolig.aspx?aid=26900&s=2
"Krimsvej  23, 10. th.2300 København S",01-10-2017,Lærernes Pension,"15.169,71 kr.1.100,00 kr.",3,101,/bolig.aspx?aid=26875&s=2
"Ben Websters Vej 70, 2. 142450 København SV",01-10-2017,CEJ Ejendomsadministration,"15.500,00 kr.1.000,00 kr.",4,106,/bolig.aspx?aid=26869&s=2
"Søborg Hovedgade  123, 1. TV2860 Søborg",01-10-2017,PKA_Logo_2014,"14.803,76 kr.966,67 kr.",3,111,/bolig.aspx?aid=26848&s=2
"Carl Jacobsens Vej  17N, 5.2500 Valby",01-10-2017,PKA_Logo_2014,"14.680,49 kr.1.450,00 kr.",3,132,/bolig.aspx?aid=26844&s=2
"Amagerfælledvej  124, 1. TH2300 København S",01-10-2017,AP Pension,"15.124,33 kr.1.310,00 kr.",4,116,/bolig.aspx?aid=26838&s=2
"Ågades Passage  1A, 3.  9000 Aalborg",01-10-2017,Sampension,"6.624,67 kr.330,00 kr.",2,69,/bolig.aspx?aid=26802&s=2
"Ringkøbingvej 3, 5. 18000 Århus C",Ledig nu,TDCP,"9.542,00 kr.460,00 kr.",2,77,/bolig.aspx?aid=26801&s=2
"Ågades Passage  18 , 1. tv.9000 Aalborg",01-10-2017,Sampension,"6.349,28 kr.310,00 kr.",2,66,/bolig.aspx?aid=26799&s=2
"Amagerfælledvej  116, 2. TV2300 København S",01-10-2017,AP Pension,"15.642,00 kr.1.350,00 kr.",4,119,/bolig.aspx?aid=26792&s=2
"Amagerfælledvej  140, 2. TH2300 København S",01-10-2017,AP Pension,"15.335,25 kr.1.290,00 kr.",4,114,/bolig.aspx?aid=26784&s=2
"Emiliedalsvej  3, st. lejl. 18270 Højbjerg",01-10-2017,Lærernes Pension,"11.551,79 kr.450,00 kr.",4,97,/bolig.aspx?aid=26772&s=2
"Emiliedalsvej  3, 2. lejl. 68270 Højbjerg",01-10-2017,Lærernes Pension,"10.019,46 kr.690,00 kr.",3,98,/bolig.aspx?aid=26769&s=2
"Axel Heides Gade  12, 5. th2300 København S",01-10-2017,Sampension,"14.440,37 kr.1.010,00 kr.",3,90,/bolig.aspx?aid=26768&s=2
"Silkeborgvej 28, 3. 58000 Århus C",Ledig nu,TDCP,"9.992,00 kr.505,00 kr.",2,86,/bolig.aspx?aid=26761&s=2
"Vindrosen  12, st. 5.8240 Risskov",01-11-2017,AP Pension,"12.495,00 kr.705,83 kr.",4,121,/bolig.aspx?aid=26755&s=2
"Vindrosen  12, 1. 5.8240 Risskov",20-10-2017,AP Pension,"12.850,00 kr.705,83 kr.",4,121,/bolig.aspx?aid=26750&s=2
"Vindrosen  12, 2. tv.8240 Risskov",20-10-2017,AP Pension,"14.000,00 kr.612,50 kr.",3,105,/bolig.aspx?aid=26748&s=2
"Vindrosen  14, st. 1.8240 Risskov",20-10-2017,AP Pension,"12.995,00 kr.775,83 kr.",4,133,/bolig.aspx?aid=26747&s=2
"Vindrosen  14, st. 5.8240 Risskov",01-11-2017,AP Pension,"12.800,00 kr.705,83 kr.",4,121,/bolig.aspx?aid=26743&s=2
"Vindrosen  12, st. 2.8240 Risskov",20-10-2017,AP Pension,,3,93,/bolig.aspx?aid=26735&s=2
"Vindrosen  12, st. 1.8240 Risskov",20-10-2017,AP Pension,"13.854,00 kr.775,83 kr.",4,133,/bolig.aspx?aid=26734&s=2
"Broloftet  42, 2. th.8240 Risskov",Ledig nu,AP Pension,"10.290,00 kr.542,50 kr.",3,93,/bolig.aspx?aid=26713&s=2
"Broloftet  42, 1. th.8240 Risskov",Ledig nu,AP Pension,"10.100,00 kr.542,50 kr.",3,93,/bolig.aspx?aid=26711&s=2
"Broloftet  42, st. th.8240 Risskov",Ledig nu,AP Pension,"9.850,00 kr.478,33 kr.",3,82,/bolig.aspx?aid=26709&s=2
"Broloftet  40, 4. tv.8240 Risskov",Ledig nu,AP Pension,"11.400,00 kr.536,67 kr.",3,92,/bolig.aspx?aid=26708&s=2
"Broloftet  40, 1. tv.8240 Risskov",Ledig nu,AP Pension,"10.100,00 kr.536,67 kr.",3,92,/bolig.aspx?aid=26702&s=2
"Broloftet  40, st. th8240 Risskov",Ledig nu,AP Pension,"8.700,00 kr.425,83 kr.",2,73,/bolig.aspx?aid=26699&s=2
"Broloftet  38, 2. tv.8240 Risskov",Ledig nu,AP Pension,"10.490,00 kr.536,67 kr.",3,92,/bolig.aspx?aid=26694&s=2
"Broloftet  38, 1. tv.8240 Risskov",Ledig nu,AP Pension,"10.100,00 kr.536,67 kr.",3,92,/bolig.aspx?aid=26692&s=2
"Broloftet  38, 1. th.8240 Risskov",Ledig nu,AP Pension,"10.100,00 kr.542,50 kr.",3,93,/bolig.aspx?aid=26691&s=2
"Broloftet  38, st. th.8240 Risskov",Ledig nu,AP Pension,"9.850,00 kr.484,17 kr.",3,83,/bolig.aspx?aid=26688&s=2
"Broloftet  36, 4. th.8240 Risskov",Ledig nu,AP Pension,"11.400,00 kr.542,50 kr.",3,93,/bolig.aspx?aid=26686&s=2
"Broloftet  36, 3. tv.8240 Risskov",Ledig nu,AP Pension,"10.800,00 kr.542,50 kr.",3,93,/bolig.aspx?aid=26685&s=2
"Broloftet  36, 3. th.8240 Risskov",Ledig nu,AP Pension,"10.800,00 kr.542,50 kr.",3,93,/bolig.aspx?aid=26684&s=2
"Broloftet  36, 2. tv.8240 Risskov",Ledig nu,AP Pension,"10.490,00 kr.542,50 kr.",3,93,/bolig.aspx?aid=26683&s=2
"Broloftet  36, 2. th.8240 Risskov",Ledig nu,AP Pension,"10.490,00 kr.542,50 kr.",3,93,/bolig.aspx?aid=26682&s=2
"Broloftet  36, 1. tv.8240 Risskov",Ledig nu,AP Pension,"10.100,00 kr.542,50 kr.",3,93,/bolig.aspx?aid=26681&s=2
"Broloftet  36, st. th.8240 Risskov",Ledig nu,AP Pension,"9.850,00 kr.478,33 kr.",3,82,/bolig.aspx?aid=26678&s=2
"Broloftet  34, 2. tv.8240 Risskov",Ledig nu,AP Pension,"10.490,00 kr.536,67 kr.",3,92,/bolig.aspx?aid=26673&s=2
"Broloftet  34, 1. tv.8240 Risskov",Ledig nu,AP Pension,"10.100,00 kr.536,67 kr.",3,92,/bolig.aspx?aid=26671&s=2
"Broloftet  34, 1. th.8240 Risskov",Ledig nu,AP Pension,"10.100,00 kr.542,50 kr.",3,93,/bolig.aspx?aid=26670&s=2
"Broloftet  34, st. th.8240 Risskov",Ledig nu,AP Pension,"9.850,00 kr.484,17 kr.",3,83,/bolig.aspx?aid=26668&s=2
"Broloftet  32, 3. th.8240 Risskov",Ledig nu,AP Pension,"10.800,00 kr.542,50 kr.",3,93,/bolig.aspx?aid=26664&s=2
"Broloftet  32, 1. tv.8240 Risskov",Ledig nu,AP Pension,"10.100,00 kr.542,50 kr.",3,93,/bolig.aspx?aid=26661&s=2
"Broloftet  32, 1. th.8240 Risskov",Ledig nu,AP Pension,"10.100,00 kr.542,50 kr.",3,93,/bolig.aspx?aid=26660&s=2
"Broloftet  32, st. th.8240 Risskov",Ledig nu,AP Pension,"9.850,00 kr.478,33 kr.",3,82,/bolig.aspx?aid=26658&s=2
"Broloftet  28, st. th.8240 Risskov",Ledig nu,AP Pension,"9.850,00 kr.478,33 kr.",3,82,/bolig.aspx?aid=26638&s=2
"Broloftet  22, 3.8240 Risskov",20-10-2017,AP Pension,"12.800,00 kr.612,50 kr.",4,105,/bolig.aspx?aid=26619&s=2
"Broloftet  22, 2.8240 Risskov",20-10-2017,AP Pension,"12.400,00 kr.612,50 kr.",4,105,/bolig.aspx?aid=26617&s=2
"Broloftet  22, 1. tv.8240 Risskov",20-10-2017,AP Pension,"12.100,00 kr.600,83 kr.",4,99,/bolig.aspx?aid=26616&s=2
"Broloftet  16, 3.8240 Risskov",20-10-2017,AP Pension,"12.500,00 kr.612,50 kr.",4,105,/bolig.aspx?aid=26604&s=2
"Broloftet  16, 2.8240 Risskov",20-10-2017,AP Pension,"12.200,00 kr.612,50 kr.",4,105,/bolig.aspx?aid=26603&s=2
"Broloftet  16, 1. tv.8240 Risskov",20-10-2017,AP Pension,"13.500,00 kr.688,33 kr.",5,118,/bolig.aspx?aid=26602&s=2
"Kløverbladsgade  75, 3. TV2500 Valby",01-12-2017,AP Pension,"12.980,92 kr.1.122,92 kr.",3,108,/bolig.aspx?aid=26587&s=2
"Kløverbladsgade  75, 2. TV2500 Valby",01-12-2017,AP Pension,"12.968,88 kr.1.121,88 kr.",3,108,/bolig.aspx?aid=26585&s=2
"Kløverbladsgade  75, 2. TH2500 Valby",01-12-2017,AP Pension,"12.993,17 kr.1.079,17 kr.",3,104,/bolig.aspx?aid=26584&s=2
"Kløverbladsgade  75, 1. TV2500 Valby",01-12-2017,AP Pension,"12.968,88 kr.1.121,88 kr.",3,108,/bolig.aspx?aid=26583&s=2
"Kløverbladsgade  73, st. TH2500 Valby",01-12-2017,AP Pension,"13.119,75 kr.1.115,62 kr.",3,107,/bolig.aspx?aid=26580&s=2
"Kløverbladsgade  73, 1. TV2500 Valby",01-12-2017,AP Pension,"13.792,50 kr.1.277,08 kr.",3,123,/bolig.aspx?aid=26570&s=2
"Kløverbladsgade  73, 1. MF2500 Valby",01-12-2017,AP Pension,"13.286,25 kr.1.230,21 kr.",3,118,/bolig.aspx?aid=26568&s=2
"Kløverbladsgade  71, 4. TV2500 Valby",01-12-2017,AP Pension,"13.364,12 kr.1.009,38 kr.",4,97,/bolig.aspx?aid=26566&s=2
"Kløverbladsgade  71, 2. TV2500 Valby",01-12-2017,AP Pension,"13.027,58 kr.1.011,45 kr.",4,97,/bolig.aspx?aid=26562&s=2
"Kløverbladsgade  63, st.2500 Valby",01-12-2017,AP Pension,"15.675,00 kr.1.375,00 kr.",4,132,/bolig.aspx?aid=26537&s=2
"Kløverbladsgade  55, st.2500 Valby",01-12-2017,AP Pension,"14.897,50 kr.1.262,50 kr.",4,121,/bolig.aspx?aid=26533&s=2
"Carl Jacobsens Vej  14T, 4. TH2500 Valby",01-12-2017,AP Pension,"15.865,42 kr.1.367,71 kr.",4,131,/bolig.aspx?aid=26528&s=2
"Carl Jacobsens Vej  14T, 2. TH2500 Valby",01-12-2017,AP Pension,"13.678,42 kr.1.048,95 kr.",4,101,/bolig.aspx?aid=26524&s=2
"Carl Jacobsens Vej  14S, 4. TH2500 Valby",01-12-2017,AP Pension,"14.425,50 kr.1.018,75 kr.",4,98,/bolig.aspx?aid=26521&s=2
"Carl Jacobsens Vej  14S, 3. TH2500 Valby",01-12-2017,AP Pension,"13.609,38 kr.1.015,62 kr.",4,98,/bolig.aspx?aid=26518&s=2
"Carl Jacobsens Vej  14G, st.2500 Valby",01-12-2017,AP Pension,"14.657,50 kr.1.281,25 kr.",4,123,/bolig.aspx?aid=26499&s=2
"Olof Palmes Allé  27A, 4. mf.8200 Århus N",01-10-2017,PKA_Logo_2014,"11.022,67 kr.1.235,00 kr.",3,98,/bolig.aspx?aid=26443&s=2
"J.P. Larsens Vej  124, st. 18220 Brabrand",Ledig nu,PenSam,"10.234,65 kr.565,00 kr.",3,103,/bolig.aspx?aid=26421&s=2
"Vesterbro  21F, st. 39000 Aalborg",01-10-2017,PKA_Logo_2014,"9.808,33 kr.1.088,23 kr.",3,94,/bolig.aspx?aid=26414&s=2
"Mønsgade  16B, 4. tv.8000 Århus C",01-10-2017,PKA_Logo_2014,"11.980,00 kr.700,00 kr.",4,90,/bolig.aspx?aid=26400&s=2
"Abildhaven  54, st.8520 Lystrup",01-10-2017,Pædagogernes Pensionskasse,"10.640,50 kr.",4,110,/bolig.aspx?aid=26368&s=2
"Ben Websters Vej  38, st. th2450 København SV",01-10-2017,CEJ Ejendomsadministration,"17.450,00 kr.1.000,00 kr.",4,120,/bolig.aspx?aid=26365&s=2
"Frederikskaj  2C, 4. tv2450 København SV",Ledig nu,PFA Logo,"15.633,00 kr.1.249,00 kr.",4,111,/bolig.aspx?aid=26361&s=2
"Frederikskaj  2C, 3. tv2450 København SV",Ledig nu,PFA Logo,"15.587,00 kr.1.260,00 kr.",4,112,/bolig.aspx?aid=26359&s=2
"Frederikskaj  2C, 2. tv2450 København SV",Ledig nu,PFA Logo,"15.355,00 kr.1.249,00 kr.",4,111,/bolig.aspx?aid=26357&s=2
"Frederikskaj  2C, 1. tv2450 København SV",Ledig nu,PFA Logo,"15.307,00 kr.1.260,00 kr.",4,112,/bolig.aspx?aid=26355&s=2
"Frederikskaj  2A, 4. tv2450 København SV",Ledig nu,PFA Logo,"15.832,00 kr.1.328,00 kr.",4,118,/bolig.aspx?aid=26346&s=2
"Frederikskaj  2A, 3. tv2450 København SV",Ledig nu,PFA Logo,"15.600,00 kr.1.317,00 kr.",4,117,/bolig.aspx?aid=26344&s=2
"Frederikskaj  2A, 2. tv2450 København SV",Ledig nu,PFA Logo,"15.503,00 kr.1.317,00 kr.",4,117,/bolig.aspx?aid=26342&s=2
"Frederikskaj  2A, 1. tv2450 København SV",Ledig nu,PFA Logo,"15.537,00 kr.1.328,00 kr.",4,118,/bolig.aspx?aid=26340&s=2
"Frederikskaj  2N, 3. tv2450 København SV",Ledig nu,PFA Logo,"15.583,00 kr.1.238,00 kr.",4,110,/bolig.aspx?aid=25341&s=2
"Frederikskaj  2N, 2. tv2450 København SV",Ledig nu,PFA Logo,"15.263,00 kr.1.249,00 kr.",4,111,/bolig.aspx?aid=25339&s=2
"Frederikskaj  2N, 1. tv2450 København SV",Ledig nu,PFA Logo,"15.033,00 kr.1.238,00 kr.",4,110,/bolig.aspx?aid=25337&s=2
"Frederikskaj  2M, st. th2450 København SV",Ledig nu,PFA Logo,"13.968,00 kr.1.249,00 kr.",3,111,/bolig.aspx?aid=25334&s=2
"Frederikskaj  2m, 5. th2450 København SV",Ledig nu,PFA Logo,"14.653,00 kr.1.260,00 kr.",3,112,/bolig.aspx?aid=25332&s=2
"Frederikskaj  2M, 3. th2450 København SV",Ledig nu,PFA Logo,"14.245,00 kr.1.249,00 kr.",3,111,/bolig.aspx?aid=25328&s=2
"Frederikskaj  2M, 2. th2450 København SV",Ledig nu,PFA Logo,"14.280,00 kr.1.260,00 kr.",3,112,/bolig.aspx?aid=25326&s=2
"Frederikskaj  2G, 4. tv2450 København SV",Ledig nu,PFA Logo,"15.896,00 kr.1.227,00 kr.",4,109,/bolig.aspx?aid=25321&s=2
"Frederikskaj  2G, 3. tv2450 København SV",Ledig nu,PFA Logo,"15.583,00 kr.1.238,00 kr.",4,110,/bolig.aspx?aid=25319&s=2
"Frederikskaj  2G, 1. tv2450 København SV",Ledig nu,PFA Logo,"14.988,00 kr.1.227,00 kr.",4,109,/bolig.aspx?aid=25315&s=2
"Frederikskaj  2F, st. th2450 København SV",Ledig nu,PFA Logo,"13.690,00 kr.1.249,00 kr.",3,111,/bolig.aspx?aid=25312&s=2
"Frederikskaj  2F, 2. th2450 København SV",Ledig nu,PFA Logo,"14.000,00 kr.1.260,00 kr.",3,112,/bolig.aspx?aid=25310&s=2
"Frederikskaj  2F, 1. th2450 København SV",Ledig nu,PFA Logo,"13.783,00 kr.1.249,00 kr.",3,111,/bolig.aspx?aid=25308&s=2
"Marie Curies Allé  80, 1. lejl. 69220 Aalborg Øst",Ledig nu,DaVinciLogo,"8.400,00 kr.805,00 kr.",3,105,/bolig.aspx?aid=25304&s=2
"Ben Websters Vej 38, 3. mf2450 København SV",01-10-2017,CEJ Ejendomsadministration,"15.000,00 kr.1.000,00 kr.",3,93,/bolig.aspx?aid=25246&s=2
"Teglholmsgade  76, 3. tv2450 København SV",01-10-2017,Pensamlogo,"13.820,79 kr.930,00 kr.",3,99,/bolig.aspx?aid=25245&s=2
"Teglholm Tværvej 8, 3. th2450 København SV",Ledig nu,TDCP,"14.225,00 kr.1.140,00 kr.",4,101,/bolig.aspx?aid=25218&s=2
"Teglholm Tværvej 8, 1. th2450 København SV",Ledig nu,TDCP,"14.056,00 kr.1.140,00 kr.",4,101,/bolig.aspx?aid=25210&s=2
"Teglholm Tværvej 6, 4. th2450 København SV",Ledig nu,TDCP,"14.309,00 kr.1.140,00 kr.",4,101,/bolig.aspx?aid=25201&s=2
"Teglholm Tværvej 12, 4. th2450 København SV",Ledig nu,TDCP,"14.309,00 kr.1.140,00 kr.",4,101,/bolig.aspx?aid=25188&s=2
"Teglholm Tværvej 12, 3. th2450 København SV",Ledig nu,TDCP,"14.225,00 kr.1.140,00 kr.",4,101,/bolig.aspx?aid=25186&s=2
"Teglholm Tværvej 10, 4. th2450 København SV",Ledig nu,TDCP,"14.309,00 kr.1.140,00 kr.",4,101,/bolig.aspx?aid=25177&s=2
"Bordeauxgade  6, 2. tv.2150 Nordhavn",01-10-2017,Pensamlogo,"14.408,00 kr.1.000,00 kr.",3,91,/bolig.aspx?aid=25008&s=2
"Engtoften  88, 2. th8260 Viby J",Ledig nu,PKA_Logo_2014,"12.003,00 kr.311,25 kr.",3,82,/bolig.aspx?aid=24975&s=2
"Engtoften  90, 1. Dør 38260 Viby J",Ledig nu,PKA_Logo_2014,"13.973,00 kr.483,75 kr.",4,128,/bolig.aspx?aid=24972&s=2
"Engtoften  88, 1. Dør 38260 Viby J",Ledig nu,PKA_Logo_2014,"13.973,00 kr.483,75 kr.",4,128,/bolig.aspx?aid=24968&s=2
"Engtoften  90, st. Dør 28260 Viby J",Ledig nu,PKA_Logo_2014,"13.867,00 kr.483,75 kr.",4,128,/bolig.aspx?aid=24964&s=2
"Engtoften  88, st. Dør 28260 Viby J",Ledig nu,PKA_Logo_2014,"13.867,00 kr.483,75 kr.",4,128,/bolig.aspx?aid=24961&s=2
"Engtoften  94, 2. th8260 Viby J",Ledig nu,PKA_Logo_2014,"12.003,00 kr.311,25 kr.",3,82,/bolig.aspx?aid=24957&s=2
"Engtoften  92, st. Dør 28260 Viby J",Ledig nu,PKA_Logo_2014,"13.867,00 kr.483,75 kr.",4,128,/bolig.aspx?aid=24946&s=2
"Engtoften  92, st. Dør 18260 Viby J",Ledig nu,PKA_Logo_2014,"8.961,00 kr.288,75 kr.",2,76,/bolig.aspx?aid=24945&s=2
"Engtoften  54, 1. tv8260 Viby J",Ledig nu,PKA_Logo_2014,"12.498,00 kr.1.156,25 kr.",4,111,/bolig.aspx?aid=24933&s=2
"Engtoften  54, 1. th8260 Viby J",Ledig nu,PKA_Logo_2014,"12.498,00 kr.1.156,25 kr.",4,111,/bolig.aspx?aid=24932&s=2
