Address,Availability,Owner,Price,Rooms,Size,links
"Dirch Passers Allé  19, 2. tv2000 Frederiksberg",01-12-2017,Pædagogernes Pensionskasse,"16.214,08 kr.1.127,80 kr.",3,105,/bolig.aspx?aid=27957&s=2
"Filosofhaven  32 , 3. th.5000 Odense C",01-10-2017,Sampension,"5.435,78 kr.350,00 kr.",1,55,/bolig.aspx?aid=27954&s=2
"Poul Hartlings Gade  6, 1. th2300 København S",01-12-2017,Sampension,"14.339,38 kr.962,50 kr.",3,90,/bolig.aspx?aid=27953&s=2
"Alliancevej 28, 2. tv2450 København SV",01-01-2018,CEJ Ejendomsadministration,"16.600,00 kr.1.300,00 kr.",4,108,/bolig.aspx?aid=27949&s=2
"Ågades Passage  14 , 2. th.9000 Aalborg",01-12-2017,Sampension,"7.570,83 kr.320,00 kr.",3,79,/bolig.aspx?aid=27948&s=2
"Alliancevej 26, 1. tv2450 København SV",01-01-2018,CEJ Ejendomsadministration,"15.200,00 kr.1.100,00 kr.",3,94,/bolig.aspx?aid=27947&s=2
"Herlev Hovedgade  104, 1. th2730 Herlev",01-10-2017,AdvokaterLoegstrup,"9.450,00 kr.1.600,00 kr.",3,108,/bolig.aspx?aid=27946&s=2
"Marmorvej  47, 1. tv.2100 København Ø",01-10-2017,Pensam,"15.152,84 kr.1.120,00 kr.",3,99,/bolig.aspx?aid=27944&s=2
"Dambakken 55, 1. th3460 Birkerød",01-10-2017,CEJ Ejendomsadministration,"13.950,00 kr.1.510,00 kr.",4,124,/bolig.aspx?aid=27939&s=2
"John F. Kennedys Plads  2A, 3. lejl. 29000 Aalborg",01-10-2017,Magnus_Kjoller,"7.088,21 kr.750,00 kr.",3,75,/bolig.aspx?aid=27938&s=2
"Dambakken 57, 1. th3460 Birkerød",01-10-2017,CEJ Ejendomsadministration,"12.500,00 kr.1.250,00 kr.",3,106,/bolig.aspx?aid=27937&s=2
"Stiholmsvej 4, 2. 33460 Birkerød",01-10-2017,CEJ Ejendomsadministration,"13.659,00 kr.1.300,00 kr.",4,157,/bolig.aspx?aid=27936&s=2
"Axel Heides Gade  24, st. TH.2300 København S",01-11-2017,Lærernes Pension,"15.303,85 kr.1.360,00 kr.",3,111,/bolig.aspx?aid=27935&s=2
"Kalmargade  40A, 3. Nr. 28200 Århus N",15-11-2017,Lærernes Pension,"7.637,09 kr.800,00 kr.",2,62,/bolig.aspx?aid=27934&s=2
"Artillerivej  106, 1. TV.2300 København S",01-10-2017,Lærernes Pension,"13.516,06 kr.1.120,00 kr.",3,94,/bolig.aspx?aid=27931&s=2
